example_id                                            | status | run_time        |
----------------------------------------------------- | ------ | --------------- |
./spec/jobs/expire_subscriptions_job_spec.rb[1:1:1:1] | passed | 0.27707 seconds |
./spec/jobs/expire_subscriptions_job_spec.rb[1:1:1:2] | passed | 0.82309 seconds |
./spec/jobs/expire_subscriptions_job_spec.rb[1:1:2:1] | passed | 0.1522 seconds  |
./spec/jobs/expire_subscriptions_job_spec.rb[1:1:2:2] | passed | 0.98929 seconds |
./spec/models/payment_spec.rb[1:1:1]                  | passed | 0.00591 seconds |
./spec/models/payment_spec.rb[1:1:2]                  | passed | 0.006 seconds   |
./spec/models/payment_spec.rb[1:2:1]                  | passed | 0.05392 seconds |
./spec/models/payment_spec.rb[1:2:2]                  | passed | 2.55 seconds    |
./spec/models/payment_spec.rb[1:2:3]                  | passed | 0.1015 seconds  |
./spec/models/payment_spec.rb[1:2:4:1]                | passed | 0.07547 seconds |
./spec/models/payment_spec.rb[1:2:4:2]                | passed | 0.07121 seconds |
./spec/models/user_spec.rb[1:1:1]                     | passed | 0.01335 seconds |
./spec/models/user_spec.rb[1:1:2]                     | passed | 0.02879 seconds |
./spec/models/user_spec.rb[1:3:1]                     | passed | 0.05623 seconds |
./spec/models/user_spec.rb[1:4:1]                     | passed | 0.00454 seconds |
./spec/models/user_spec.rb[1:4:2]                     | passed | 0.0042 seconds  |
./spec/models/user_spec.rb[1:5:1:1]                   | passed | 0.05953 seconds |
./spec/models/user_spec.rb[1:5:1:2]                   | passed | 0.05648 seconds |
./spec/models/user_spec.rb[1:5:2:1]                   | passed | 0.06602 seconds |
./spec/models/user_spec.rb[1:5:3:1]                   | passed | 0.0632 seconds  |
./spec/models/user_spec.rb[1:6:1:1]                   | passed | 0.05541 seconds |
./spec/models/user_spec.rb[1:6:1:2]                   | passed | 0.0414 seconds  |
./spec/models/user_spec.rb[1:6:2:1]                   | passed | 0.05437 seconds |
./spec/models/user_spec.rb[1:6:3:1]                   | passed | 0.05255 seconds |
./spec/models/user_spec.rb[1:6:3:2]                   | passed | 0.05274 seconds |
./spec/models/user_spec.rb[1:7:1]                     | passed | 0.07195 seconds |
./spec/models/user_spec.rb[1:7:2]                     | passed | 0.12324 seconds |
./spec/models/user_spec.rb[1:7:3]                     | passed | 0.06144 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:1:1]   | passed | 0.05787 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:1:2]   | passed | 0.05076 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:1:3]   | passed | 0.0535 seconds  |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:2:1]   | passed | 0.04631 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:2:2]   | passed | 0.06481 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:2:3]   | passed | 0.04839 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:3:1]   | passed | 0.04649 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:3:2]   | passed | 0.04888 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:4:1]   | passed | 1.38 seconds    |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:4:2]   | passed | 0.06158 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:4:3]   | passed | 0.05754 seconds |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:5:1]   | passed | 0.0428 seconds  |
./spec/requests/api/v1/admin/plans_spec.rb[1:1:6:1]   | passed | 0.11373 seconds |
./spec/requests/profiles_spec.rb[1:1:1:1]             | passed | 0.09307 seconds |
./spec/requests/profiles_spec.rb[1:1:1:2]             | passed | 0.0875 seconds  |
./spec/requests/profiles_spec.rb[1:1:1:3]             | passed | 8.19 seconds    |
